TCURF_FCURR	TCURF_TCURR	TCURF_FFACT	TCURF_TFACT	TCURF_GDATU
AED	EUR	1	1	19990101
ARS	BRL	1	1	18000101
ARS	CAD	1	1	18000101
ARS	CLP	1	1	18000101
ARS	COP	1	1	18000101
ARS	DEM	100	1	19990101
ARS	EUR	1	1	19990101
ARS	JPY	1	1	18000101
ARS	MXN	1	1	18000101
ARS	PEN	1	1	18000101
ARS	USD	1	1	18000101
ARS	VEB	1	1	18000101
ATS	ATS	1	1	18000101
ATS	BEF	1	1	19990101
ATS	CHF	100	1	18000101
ATS	DEM	100	1	19990101
ATS	DKK	100	1	18000101
ATS	ESP	1	1	19990101
ATS	EUR	100	1	18000101
ATS	FIM	100	1	19990101
ATS	FRF	100	1	19990101
ATS	GBP	100	1	18000101
ATS	IEP	100	1	19990101
ATS	ITL	1	1	19990101
ATS	LUF	1	1	19990101
ATS	NLG	100	1	19990101
ATS	PTE	1	1	19990101
ATS	SEK	100	1	18000101
ATS	USD	100	1	18000101
AUD	ATS	1	1	18000101
AUD	AUD	1	1	18000101
AUD	BEF	1	1	18000101
AUD	CAD	100	1	18000101
AUD	DEM	1	1	18000101
AUD	ECU	1	1	18000101
AUD	ESP	1	1	18000101
AUD	EUR	1	1	19990101
AUD	FFR	1	1	18000101
AUD	FRF	1	1	18000101
AUD	GBP	1	1	18000101
AUD	ITL	1	10	18000101
AUD	JPY	1	1	18000101
AUD	NZD	1	1	18000101
AUD	PTE	1	1	18000101
AUD	SGD	1	1	18000101
AUD	USD	1	1	18000101
BEF	ATS	100	1	19990101
BEF	BEF	1	1	18000101
BEF	CHF	100	1	18000101
BEF	DEM	100	1	19990101
BEF	DKK	100	1	18000101
BEF	ESP	1	1	19990101
BEF	EUR	1000	1	18000101
BEF	FIM	100	1	19990101
BEF	FRF	100	1	19990101
BEF	GBP	100	1	18000101
BEF	IEP	1	1	19990101
BEF	ITL	1	1	19990101
BEF	LUF	1	1	19990101
BEF	NLG	100	1	19990101
BEF	PTE	1	1	19990101
BEF	SEK	100	1	18000101
BEF	USD	100	1	18000101
BRL	ARS	1	1	18000101
BRL	CAD	1	1	18000101
BRL	CLP	1	1	18000101
BRL	COP	1	1	18000101
BRL	DEM	100	1	19990101
BRL	EUR	1	1	18000101
BRL	IGPM	1	1	18000101
BRL	JPY	1	1	18000101
BRL	MXN	1	1	18000101
BRL	PEN	1	1	18000101
BRL	TJLP	100	1	19000101
BRL	USD	1	1	18000101
BRL	VEB	1	1	18000101
CAD	ARS	1	1	18000101
CAD	ATS	1	100	18000101
CAD	AUD	1	1	18000101
CAD	BEF	1	1	18000101
CAD	BRL	1	1	18000101
CAD	CAD	1	1	18000101
CAD	CHF	1	1	18000101
CAD	CLP	1	1	18000101
CAD	COP	1	1	18000101
CAD	DEM	1	1	18000101
CAD	DKK	1	1	20080101
CAD	ECU	1	1	18000101
CAD	ESP	1	1	18000101
CAD	EUR	1	1	18000101
CAD	FFR	1	1	18000101
CAD	FRF	1	1	18000101
CAD	GBP	1	1	18000101
CAD	ITL	1	1	18000101
CAD	JPY	1	100	19991201
CAD	LIT	1	1	18000101
CAD	MXN	1	1	18000101
CAD	PEN	1	1	18000101
CAD	PTE	1	1	18000101
CAD	SFR	1	1	18000101
CAD	UNI	1	1	18000101
CAD	USD	1	1	18000101
CAD	VEB	1	1	18000101
CHF	ATS	1	1	19990101
CHF	BEF	1	1	19990101
CHF	CHF	1	1	18000101
CHF	DEM	1	1	19990101
CHF	DKK	1	1	18000101
CHF	ECU	1	1	19990101
CHF	ESP	1	1	19990101
CHF	EUR	1	1	20120101
CHF	FIM	1	1	19990101
CHF	FRF	1	1	19990101
CHF	GBP	1	1	18000101
CHF	IEP	1	1	19990101
CHF	ITL	1	1	19990101
CHF	LUF	1	1	19990101
CHF	NLG	1	1	19990101
CHF	PTE	1	1	19990101
CHF	SEK	1	1	18000101
CHF	USD	100	1	18000101
CLP	ARS	1000	1	18000101
CLP	BRL	1000	1	18000101
CLP	CAD	1000	1	18000101
CLP	CNY	1	1	19990101
CLP	COP	1	1	18000101
CLP	DEM	100	1	19990101
CLP	EUR	1	1	19990101
CLP	JPY	100	1	18000101
CLP	MXN	100	1	18000101
